               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10455,            0.034834,                   0,             0.11243,             0.12371,            0.043287,             0.01366,            0.071437,             0.02113,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.079773,            0.042857,                   0,             0.35884,             0.57732,              0.3182,             0.10085,            0.061435,            0.017629,                   0,            0.043175,           0.0061753,           0.0061753
                   2,            0.067114,            0.028799,                   0,             0.48753,             0.58846,             0.54187,             0.23295,            0.052266,            0.011723,                   0,            0.014124,           0.0091238,           0.0091238
                   3,            0.064079,            0.025056,                   0,             0.32086,             0.85723,             0.44274,             0.24614,            0.050429,            0.013839,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.055174,            0.020266,                   0,             0.59684,             0.61856,             0.73822,             0.31636,            0.047093,             0.01101,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.052538,            0.021182,                   0,              0.7643,             0.71134,             0.84953,             0.39927,            0.038064,           0.0080043,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049069,            0.019621,                   0,             0.92772,             0.92632,             0.95049,             0.64135,            0.027085,           0.0071463,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.041262,             0.01711,                   0,             0.92111,             0.96304,             0.98203,             0.53021,            0.028182,           0.0062769,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039145,            0.017871,                   0,             0.96849,             0.95076,             0.98808,              0.7291,            0.020759,           0.0059202,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037061,            0.014245,                   0,             0.95303,             0.93814,             0.98667,             0.67202,            0.025583,           0.0059258,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.039063,             0.02022,                   0,             0.91812,             0.92784,             0.96381,             0.67932,            0.021054,           0.0064197,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.032398,            0.014831,                   0,             0.96593,             0.95876,             0.99058,             0.73705,              0.0194,           0.0057559,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032067,            0.014475,                   0,             0.95157,             0.95876,             0.96948,             0.68893,            0.021968,           0.0058758,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.031468,            0.012988,                   0,              0.8956,             0.96907,             0.96093,             0.72402,            0.021002,           0.0058298,                   0,            0.007624,            0.007624,            0.007624
                  14,              0.0321,            0.013971,                   0,             0.94899,             0.95895,             0.97635,             0.74707,            0.019712,            0.005559,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.030683,            0.014635,                   0,             0.98721,             0.97938,             0.99277,             0.72153,            0.024757,           0.0052678,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029933,            0.013138,                   0,             0.99916,                   1,               0.995,             0.78315,            0.017955,            0.004884,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.031296,            0.016559,                   0,              0.9974,                   1,               0.995,             0.79716,            0.019945,           0.0052078,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030751,            0.015385,                   0,             0.99804,                   1,               0.995,              0.7787,            0.019536,           0.0050736,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027159,            0.012646,                   0,                   1,             0.99805,               0.995,             0.75714,            0.018967,           0.0048452,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.027447,            0.013794,                   0,             0.99471,             0.98969,              0.9948,             0.80585,            0.017296,           0.0048587,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028166,            0.013756,                   0,             0.99899,                   1,               0.995,             0.78508,            0.016345,           0.0049332,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.026019,            0.013685,                   0,             0.99674,             0.98969,              0.9948,             0.71649,            0.019139,            0.005029,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.025748,            0.013283,                   0,             0.99888,                   1,               0.995,             0.82943,            0.015975,           0.0049882,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.026374,            0.013157,                   0,             0.98854,                   1,              0.9949,             0.82062,            0.016191,           0.0047568,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.025753,            0.012833,                   0,             0.99858,             0.98969,              0.9948,             0.81634,            0.015166,           0.0047877,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.024556,            0.013529,                   0,             0.99819,             0.98969,             0.99442,             0.81259,            0.015142,           0.0048071,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.023915,            0.013565,                   0,             0.98802,                   1,              0.9949,             0.83571,            0.015196,           0.0046999,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.02406,            0.012194,                   0,             0.98857,                   1,              0.9948,             0.82551,            0.015452,           0.0049003,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.022876,            0.013079,                   0,             0.99966,                   1,               0.995,             0.82611,            0.015251,           0.0046418,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021404,            0.011506,                   0,             0.99666,                   1,               0.995,             0.81915,            0.015216,           0.0047173,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.022887,            0.012112,                   0,                   1,             0.99912,               0.995,             0.83379,            0.014847,           0.0046987,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.022705,            0.011253,                   0,             0.99966,                   1,               0.995,             0.83758,             0.01484,           0.0045323,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.021825,            0.011925,                   0,              0.9992,                   1,               0.995,             0.84384,            0.014899,           0.0044222,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.021453,            0.011278,                   0,             0.99938,                   1,               0.995,             0.85619,            0.014514,           0.0045576,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.020183,            0.011126,                   0,             0.99886,                   1,               0.995,             0.85195,            0.014543,           0.0046517,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.021516,             0.01146,                   0,             0.99684,                   1,               0.995,             0.85363,            0.014261,           0.0045526,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.020118,            0.012092,                   0,              0.9981,                   1,               0.995,             0.84246,            0.014547,           0.0045606,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.020635,            0.011265,                   0,              0.9983,                   1,               0.995,             0.82974,            0.014125,           0.0045594,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.021804,            0.011888,                   0,             0.99918,                   1,               0.995,             0.84229,            0.014337,             0.00444,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019039,            0.010531,                   0,             0.99904,                   1,               0.995,             0.85177,            0.014922,           0.0043972,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.019015,            0.010415,                   0,             0.99903,                   1,               0.995,             0.86036,            0.014246,           0.0044417,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018147,             0.01098,                   0,              0.9991,                   1,               0.995,             0.85208,            0.014481,           0.0044334,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019585,            0.011316,                   0,             0.99905,                   1,               0.995,             0.86698,            0.014158,           0.0044712,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01833,            0.010493,                   0,             0.99882,                   1,               0.995,             0.86407,            0.013882,           0.0043202,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.020834,            0.013039,                   0,             0.99889,                   1,               0.995,             0.85422,            0.014018,           0.0043096,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.019015,            0.010744,                   0,             0.99911,                   1,               0.995,             0.86245,            0.013951,           0.0042753,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018203,             0.01079,                   0,             0.99901,                   1,               0.995,             0.85903,            0.013807,           0.0043403,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01959,            0.011287,                   0,             0.99885,                   1,               0.995,             0.86307,            0.013873,           0.0042072,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018464,            0.010769,                   0,             0.99911,                   1,               0.995,             0.86315,              0.0139,           0.0041882,                   0,            0.000496,            0.000496,            0.000496
